player;team;season;league;fbref_standard_nation;fbref_standard_pos;fbref_standard_age;fbref_standard_born;fbref_standard_playing_time_mp;fbref_standard_playing_time_starts;fbref_standard_playing_time_min;fbref_standard_playing_time_90s;fbref_standard_performance_gls;fbref_standard_performance_ast;fbref_standard_performance_g_plus_a;fbref_standard_performance_g_pk;fbref_standard_performance_pk;fbref_standard_performance_pkatt;fbref_standard_performance_crdy;fbref_standard_performance_crdr;fbref_standard_per_90_minutes_gls;fbref_standard_per_90_minutes_ast;fbref_standard_per_90_minutes_g_plus_a;fbref_standard_per_90_minutes_g_pk;fbref_standard_per_90_minutes_g_plus_a_pk;fbref_shooting_nation;fbref_shooting_pos;fbref_shooting_age;fbref_shooting_born;fbref_shooting_90s;fbref_shooting_standard_gls;fbref_shooting_standard_sh;fbref_shooting_standard_sot;fbref_shooting_standard_sotpct;fbref_shooting_standard_sh_per_90;fbref_shooting_standard_sot_per_90;fbref_shooting_standard_g_per_sh;fbref_shooting_standard_g_per_sot;fbref_shooting_standard_pk;fbref_shooting_standard_pkatt;fbref_playing_time_nation;fbref_playing_time_pos;fbref_playing_time_age;fbref_playing_time_born;fbref_playing_time_playing_time_mp;fbref_playing_time_playing_time_min;fbref_playing_time_playing_time_mn_per_mp;fbref_playing_time_playing_time_minpct;fbref_playing_time_playing_time_90s;fbref_playing_time_starts_starts;fbref_playing_time_starts_mn_per_start;fbref_playing_time_starts_compl;fbref_playing_time_subs_subs;fbref_playing_time_subs_mn_per_sub;fbref_playing_time_subs_unsub;fbref_playing_time_team_success_ppm;fbref_playing_time_team_success_ong;fbref_playing_time_team_success_onga;fbref_playing_time_team_success_plus_minus;fbref_playing_time_team_success_plus_minus90;fbref_playing_time_team_success_on_off;fbref_misc_nation;fbref_misc_pos;fbref_misc_age;fbref_misc_born;fbref_misc_90s;fbref_misc_performance_crdy;fbref_misc_performance_crdr;fbref_misc_performance_2crdy;fbref_misc_performance_fls;fbref_misc_performance_fld;fbref_misc_performance_off;fbref_misc_performance_crs;fbref_misc_performance_int;fbref_misc_performance_tklw;fbref_misc_performance_og;fbref_keeper_nation;fbref_keeper_pos;fbref_keeper_age;fbref_keeper_born;fbref_keeper_playing_time_mp;fbref_keeper_playing_time_starts;fbref_keeper_playing_time_min;fbref_keeper_playing_time_90s;fbref_keeper_performance_ga;fbref_keeper_performance_ga90;fbref_keeper_performance_sota;fbref_keeper_performance_saves;fbref_keeper_performance_savepct;fbref_keeper_performance_w;fbref_keeper_performance_d;fbref_keeper_performance_l;fbref_keeper_performance_cs;fbref_keeper_performance_cspct;fbref_keeper_penalty_kicks_pkatt;fbref_keeper_penalty_kicks_pka;fbref_keeper_penalty_kicks_pksv;fbref_keeper_penalty_kicks_pkm;fbref_keeper_penalty_kicks_savepct
Lucas Oliveira Rosa;Ajax;2526;NED-Eredivisie;BRA;DF;25;2000;27;24;2145;23,8;0;0;0;0;0;0;4;0;0,0;0,0;0,0;0,0;0,0;BRA;DF;25;2000;23,8;0;16;5;31,3;0,67;0,21;0,0;0,0;0;0;BRA;DF;25;2000;27;2145;79;70,1;23,8;24;87;20;3;20;5;1,69;40;26;14;0,59;-0,1;BRA;DF;25;2000;23,8;4;0;0;31;28;0;25;40;43;0;;;;;;;;;;;;;;;;;;;;;;;
Maarten Paes;Ajax;2526;NED-Eredivisie;IDN;GK;27;1998;11;11;990;11,0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;IDN;GK;27;1998;11,0;0;0;0;;0,0;0,0;;;0;0;IDN;GK;27;1998;11;990;90;32,4;11,0;11;90;11;0;;1;1,38;16;11;5;0,45;-0,24;IDN;GK;27;1998;11,0;0;0;0;0;1;0;0;0;0;0;IDN;GK;27;1998;11;11;990;11,0;11;1,0;44;33;75,0;3;5;3;5;45,5;1;1;0;0;0,0
Maher Carrizo;Ajax;2526;NED-Eredivisie;ARG;MF;19;2006;4;0;36;0,4;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;ARG;MF;19;2006;0,4;0;4;2;50,0;10,0;5,0;0,0;0,0;0;0;ARG;MF;19;2006;4;36;9;1,2;0,4;0;;0;4;9;7;1,0;0;1;-1;-2,5;-3,15;ARG;MF;19;2006;0,4;0;0;0;0;0;0;5;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Mark Verkuijl;Ajax;2526;NED-Eredivisie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NED;MF;19;2006;0;;;;;0;;0;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marvyn Muzungu;Ajax;2526;NED-Eredivisie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FRA;DF;17;2007;0;;;;;0;;0;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mika Godts;Ajax;2526;NED-Eredivisie;BEL;FW,MF;20;2005;32;30;2676;29,7;17;12;29;17;0;0;2;0;0,57;0,4;0,98;0,57;0,98;BEL;FW,MF;20;2005;29,7;17;80;39;48,8;2,69;1,31;0,21;0,44;0;0;BEL;FW,MF;20;2005;32;2676;84;87,5;29,7;30;87;18;2;29;0;1,65;55;38;17;0,57;-0,37;BEL;FW,MF;20;2005;29,7;2;0;0;19;44;7;88;12;21;0;;;;;;;;;;;;;;;;;;;;;;;
Mohamed Abdalla;Ajax;2526;NED-Eredivisie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NED;MF;15;2009;0;;;;;0;;0;0;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mylo Van De Lans;Ajax;2526;NED-Eredivisie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NED;DF;18;2007;0;;;;;0;;0;0;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nick Verschuren;Ajax;2526;NED-Eredivisie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NED;DF;20;2005;0;;;;;0;;0;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oleksandr Zinchenko;Ajax;2526;NED-Eredivisie;UKR;DF;28;1996;2;1;20;0,2;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;UKR;DF;28;1996;0,2;0;0;0;;0,0;0,0;;;0;0;UKR;DF;28;1996;2;20;10;0,7;0,2;1;5;0;1;15;0;2,0;1;0;1;4,5;3,91;UKR;DF;28;1996;0,2;0;0;0;1;1;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Oliver Edvardsen;Ajax;2526;NED-Eredivisie;NOR;MF,FW;26;1999;18;6;640;7,1;0;1;1;0;0;0;3;0;0,0;0,14;0,14;0,0;0,14;NOR;MF,FW;26;1999;7,1;0;4;1;25,0;0,56;0,14;0,0;0,0;0;0;NOR;MF,FW;26;1999;18;640;36;20,9;7,1;6;67;0;12;20;11;1,5;11;13;-2;-0,28;-1,14;NOR;MF,FW;26;1999;7,1;3;0;0;12;18;0;20;3;7;0;;;;;;;;;;;;;;;;;;;;;;;
Oscar Gloukh;Ajax;2526;NED-Eredivisie;ISR;MF,FW;21;2004;29;16;1559;17,3;6;6;12;6;0;0;3;0;0,35;0,35;0,69;0,35;0,69;ISR;MF,FW;21;2004;17,3;6;49;22;44,9;2,83;1,27;0,12;0,27;0;0;ISR;MF,FW;21;2004;29;1559;54;50,9;17,3;16;74;4;13;29;4;1,72;32;18;14;0,81;0,39;ISR;MF,FW;21;2004;17,3;3;0;0;4;17;0;40;2;11;0;;;;;;;;;;;;;;;;;;;;;;;
Owen Wijndal;Ajax;2526;NED-Eredivisie;NED;DF;25;1999;19;15;1350;15,0;1;0;1;1;0;0;3;0;0,07;0,0;0,07;0,07;0,07;NED;DF;25;1999;15,0;1;10;5;50,0;0,67;0,33;0,1;0,2;0;0;NED;DF;25;1999;19;1350;71;44,1;15,0;15;79;6;4;41;5;1,84;29;16;13;0,87;0,45;NED;DF;25;1999;15,0;3;0;0;18;25;0;33;17;15;0;;;;;;;;;;;;;;;;;;;;;;;
Paul Reverson;Ajax;2526;NED-Eredivisie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GHA;GK;20;2005;0;;;;;0;;0;0;;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pharrel Nash;Ajax;2526;NED-Eredivisie;NED;FW;17;2008;1;0;5;0,1;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;NED;FW;17;2008;0,1;0;0;0;;0,0;0,0;;;0;0;NED;FW;17;2008;1;5;5;0,2;0,1;0;;0;1;5;2;3,0;0;0;0;0,0;-0,62;NED;FW;17;2008;0,1;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
