player,team,position,position_group,age,minutes,PC1,PC2,PC3,observed_features,imputed_features,distance_per90,sprints_per90,intensive_runs_per90,duels_won_per90,aerial_duels_won_per90,tackles_won_per90,interceptions_per90,fouls_committed_per90,fouls_drawn_per90,crosses_per90,top_speed_kmh
Mikkel Kaufmann,Heidenheim,FW,FW,24.0,537.0,1.8623777108437902,1.6861745448123715,-3.148919345106604,11,0,11.715083798882683,23.798882681564248,78.60335195530726,11.396648044692737,4.022346368715084,0.33519553072625696,0.16759776536312848,2.346368715083799,2.17877094972067,0.16759776536312848,34.41
Niklas Dorsch,Heidenheim,MF,MF,27.0,2258.0,0.3298450458769972,-0.20537855462676058,0.44921010609734413,11,0,10.889282550930027,13.312666076173604,56.91762621789194,8.808680248007086,0.6775907883082374,1.2356067316209034,0.7573073516386183,1.195748449955713,1.0761736049601418,1.3153232949512843,34.74
Omar Traoré,Heidenheim,"DF,MF",DF,27.0,1501.0,0.40164272108805177,-0.06376686256777508,-0.10383421451636207,5,6,,,,,,0.6595602931379081,1.0193204530313125,1.3191205862758162,1.139240506329114,2.218520986009327,
Patrick Mainka,Heidenheim,DF,DF,30.0,3060.0,-1.9032157168103987,1.9697438587934626,0.42431155168633966,11,0,10.873529411764705,8.617647058823529,47.35294117647059,10.147058823529411,4.852941176470588,0.8823529411764706,1.0588235294117647,0.29411764705882354,0.5882352941176471,0.0,32.08
Sirlord Conteh,Heidenheim,"MF,FW",MF,29.0,625.0,1.8426002825854262,-1.371338293186433,-0.24570508793259707,11,0,10.6272,29.664,80.352,8.208,0.864,1.008,0.576,1.008,1.44,2.448,35.29
Stefan Schimmer,Heidenheim,FW,FW,31.0,820.0,0.5854171060467183,0.02831077491680407,-0.7817067879889377,11,0,12.973170731707317,20.74390243902439,86.59756097560975,8.890243902439025,2.8536585365853657,0.43902439024390244,0.43902439024390244,1.4268292682926829,0.5487804878048781,1.0975609756097562,31.99
Tim Siersleben,Heidenheim,DF,DF,25.0,1081.0,-0.6470333849203712,0.8470259427807655,1.810085313361688,11,0,11.139685476410733,9.491211840888067,49.287696577243295,6.993524514338575,1.6651248843663276,1.332099907493062,1.7483811285846438,1.0823311748381128,1.0823311748381128,1.0823311748381128,31.95
Albian Hajdari,Hoffenheim,DF,DF,22.0,2434.0,-0.19928235819452453,2.111703223951981,0.9392365530581891,11,0,10.88578471651602,11.610517666392768,55.61216105176664,10.131470829909613,2.736236647493837,1.4050944946589976,1.5529991783073132,1.589975349219392,0.8504519309778144,0.7025472473294988,31.96
Alexander Prass,Hoffenheim,MF,MF,24.0,1308.0,3.651567257318142,-0.24038099085236714,-0.752467561393676,11,0,12.908256880733944,30.96330275229358,106.78899082568807,10.6651376146789,1.444954128440367,1.5137614678899083,0.41284403669724773,1.7889908256880733,1.444954128440367,3.2339449541284404,33.95
Andrej Kramarić,Hoffenheim,"MF,FW",MF,34.0,2207.0,-0.8023154088647141,-3.2345720065872814,0.3208771674120153,11,0,11.805618486633438,15.333031264159493,75.31943815133666,4.648844585410059,0.285455369279565,0.20389669234254645,0.285455369279565,0.20389669234254645,0.57091073855913,3.3439057544177615,32.33
