player;team;season;league;fbref_standard_nation;fbref_standard_pos;fbref_standard_age;fbref_standard_born;fbref_standard_playing_time_mp;fbref_standard_playing_time_starts;fbref_standard_playing_time_min;fbref_standard_playing_time_90s;fbref_standard_performance_gls;fbref_standard_performance_ast;fbref_standard_performance_g_plus_a;fbref_standard_performance_g_pk;fbref_standard_performance_pk;fbref_standard_performance_pkatt;fbref_standard_performance_crdy;fbref_standard_performance_crdr;fbref_standard_per_90_minutes_gls;fbref_standard_per_90_minutes_ast;fbref_standard_per_90_minutes_g_plus_a;fbref_standard_per_90_minutes_g_pk;fbref_standard_per_90_minutes_g_plus_a_pk;fbref_shooting_nation;fbref_shooting_pos;fbref_shooting_age;fbref_shooting_born;fbref_shooting_90s;fbref_shooting_standard_gls;fbref_shooting_standard_sh;fbref_shooting_standard_sot;fbref_shooting_standard_sotpct;fbref_shooting_standard_sh_per_90;fbref_shooting_standard_sot_per_90;fbref_shooting_standard_g_per_sh;fbref_shooting_standard_g_per_sot;fbref_shooting_standard_pk;fbref_shooting_standard_pkatt;fbref_playing_time_nation;fbref_playing_time_pos;fbref_playing_time_age;fbref_playing_time_born;fbref_playing_time_playing_time_mp;fbref_playing_time_playing_time_min;fbref_playing_time_playing_time_mn_per_mp;fbref_playing_time_playing_time_minpct;fbref_playing_time_playing_time_90s;fbref_playing_time_starts_starts;fbref_playing_time_starts_mn_per_start;fbref_playing_time_starts_compl;fbref_playing_time_subs_subs;fbref_playing_time_subs_mn_per_sub;fbref_playing_time_subs_unsub;fbref_playing_time_team_success_ppm;fbref_playing_time_team_success_ong;fbref_playing_time_team_success_onga;fbref_playing_time_team_success_plus_minus;fbref_playing_time_team_success_plus_minus90;fbref_playing_time_team_success_on_off;fbref_misc_nation;fbref_misc_pos;fbref_misc_age;fbref_misc_born;fbref_misc_90s;fbref_misc_performance_crdy;fbref_misc_performance_crdr;fbref_misc_performance_2crdy;fbref_misc_performance_fls;fbref_misc_performance_fld;fbref_misc_performance_off;fbref_misc_performance_crs;fbref_misc_performance_int;fbref_misc_performance_tklw;fbref_misc_performance_og;fbref_keeper_nation;fbref_keeper_pos;fbref_keeper_age;fbref_keeper_born;fbref_keeper_playing_time_mp;fbref_keeper_playing_time_starts;fbref_keeper_playing_time_min;fbref_keeper_playing_time_90s;fbref_keeper_performance_ga;fbref_keeper_performance_ga90;fbref_keeper_performance_sota;fbref_keeper_performance_saves;fbref_keeper_performance_savepct;fbref_keeper_performance_w;fbref_keeper_performance_d;fbref_keeper_performance_l;fbref_keeper_performance_cs;fbref_keeper_performance_cspct;fbref_keeper_penalty_kicks_pkatt;fbref_keeper_penalty_kicks_pka;fbref_keeper_penalty_kicks_pksv;fbref_keeper_penalty_kicks_pkm;fbref_keeper_penalty_kicks_savepct
Xander Martlé;Cercle Brugge;2526;BEL-Belgian Pro League;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BEL;MF;21;2003;0;;;;;0;;0;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aiham Ousou;Charleroi;2526;BEL-Belgian Pro League;SYR;DF;25;2000;39;39;3393;37,7;2;1;3;2;0;0;12;1;0,05;0,03;0,08;0,05;0,08;SYR;DF;25;2000;37,7;2;34;10;29,4;0,9;0,27;0,06;0,2;0;0;SYR;DF;25;2000;39;3393;87;94,3;37,7;39;87;36;0;;0;1,28;48;47;1;0,03;0,46;SYR;DF;25;2000;37,7;12;1;0;40;19;2;1;37;35;0;;;;;;;;;;;;;;;;;;;;;;;
Alexandre Stanic;Charleroi;2526;BEL-Belgian Pro League;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BEL;FW;20;2004;0;;;;;0;;0;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amine Boukamir;Charleroi;2526;BEL-Belgian Pro League;MAR;MF;18;2006;7;6;448;5,0;0;0;0;0;0;0;1;0;0,0;0,0;0,0;0,0;0,0;MAR;MF;18;2006;5,0;0;0;0;;0,0;0,0;;;0;0;MAR;MF;18;2006;7;448;64;12,4;5,0;6;75;3;1;1;30;1,57;8;6;2;0,4;0,46;MAR;MF;18;2006;5,0;1;0;0;5;4;0;3;5;6;0;;;;;;;;;;;;;;;;;;;;;;;
Anthony Descotte;Charleroi;2526;BEL-Belgian Pro League;BEL;FW;21;2003;3;1;93;1,0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;BEL;FW;21;2003;1,0;0;0;0;;0,0;0,0;;;0;0;BEL;FW;21;2003;3;93;31;2,6;1,0;1;60;0;2;17;0;0,67;2;2;0;0,0;0,0;BEL;FW;21;2003;1,0;0;0;0;6;1;1;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Antoine Bernier;Charleroi;2526;BEL-Belgian Pro League;BEL;MF;27;1997;38;31;2355;26,2;7;2;9;7;0;0;7;0;0,27;0,08;0,34;0,27;0,34;BEL;MF;27;1997;26,2;7;42;16;38,1;1,61;0,61;0,17;0,44;0;0;BEL;MF;27;1997;38;2355;62;65,4;26,2;31;71;2;7;22;1;1,32;33;22;11;0,42;1,22;BEL;MF;27;1997;26,2;7;0;0;43;37;10;52;15;32;0;;;;;;;;;;;;;;;;;;;;;;;
Antoine Colassin;Charleroi;2526;BEL-Belgian Pro League;BEL;MF,FW;24;2001;29;6;630;7,0;2;2;4;2;0;0;2;0;0,29;0,29;0,57;0,29;0,57;BEL;MF,FW;24;2001;7,0;2;23;7;30,4;3,29;1,0;0,09;0,29;0;0;BEL;MF,FW;24;2001;29;630;22;17,5;7,0;6;51;0;23;14;10;1,31;11;8;3;0,43;0,52;BEL;MF,FW;24;2001;7,0;2;0;0;14;7;2;8;4;7;0;;;;;;;;;;;;;;;;;;;;;;;
Aurélien Scheidler;Charleroi;2526;BEL-Belgian Pro League;FRA;FW;27;1998;36;33;2923;32,5;9;4;13;8;1;1;2;0;0,28;0,12;0,4;0,25;0,37;FRA;FW;27;1998;32,5;9;65;24;36,9;2,0;0,74;0,14;0,38;1;1;FRA;FW;27;1998;36;2923;81;81,2;32,5;33;86;23;3;30;0;1,33;41;40;1;0,03;0,16;FRA;FW;27;1998;32,5;2;0;0;39;40;21;6;7;4;0;;;;;;;;;;;;;;;;;;;;;;;
Check Keita;Charleroi;2526;BEL-Belgian Pro League;FRA;DF;22;2003;40;39;3435;38,2;3;0;3;3;0;0;5;0;0,08;0,0;0,08;0,08;0,08;FRA;DF;22;2003;38,2;3;17;3;17,6;0,45;0,08;0,18;1,0;0;0;FRA;DF;22;2003;40;3435;86;95,4;38,2;39;88;32;1;16;0;1,28;47;49;-2;-0,05;-1,14;FRA;DF;22;2003;38,2;5;0;0;32;19;15;4;23;27;0;;;;;;;;;;;;;;;;;;;;;;;
Etienne Camara;Charleroi;2526;BEL-Belgian Pro League;FRA;MF;22;2003;38;38;3016;33,5;2;3;5;2;0;0;13;1;0,06;0,09;0,15;0,06;0,15;FRA;MF;22;2003;33,5;2;20;6;30,0;0,6;0,18;0,1;0,33;0;0;FRA;MF;22;2003;38;3016;79;83,8;33,5;38;79;17;0;;0;1,18;35;45;-10;-0,3;-1,84;FRA;MF;22;2003;33,5;13;1;1;73;11;0;16;53;57;1;;;;;;;;;;;;;;;;;;;;;;;
Filip Szymczak;Charleroi;2526;BEL-Belgian Pro League;POL;FW,MF;23;2002;19;0;293;3,3;0;0;0;0;0;0;1;0;0,0;0,0;0,0;0,0;0,0;POL;FW,MF;23;2002;3,3;0;10;3;30,0;3,07;0,92;0,0;0,0;0;0;POL;FW,MF;23;2002;19;293;15;8,1;3,3;0;;0;19;15;12;0,58;2;4;-2;-0,61;-0,67;POL;FW,MF;23;2002;3,3;1;0;0;7;3;1;5;3;2;0;;;;;;;;;;;;;;;;;;;;;;;
Freddy Mbemba;Charleroi;2526;BEL-Belgian Pro League;FRA;FW;22;2002;2;0;19;0,2;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;FRA;FW;22;2002;0,2;0;2;1;50,0;9,47;4,74;0,0;0,0;0;0;FRA;FW;22;2002;2;19;10;0,5;0,2;0;;0;2;10;1;0,5;0;0;0;0,0;0,0;FRA;FW;22;2002;0,2;0;0;0;2;1;1;2;0;1;0;;;;;;;;;;;;;;;;;;;;;;;
