player;team;season;league;fbref_standard_nation;fbref_standard_pos;fbref_standard_age;fbref_standard_born;fbref_standard_playing_time_mp;fbref_standard_playing_time_starts;fbref_standard_playing_time_min;fbref_standard_playing_time_90s;fbref_standard_performance_gls;fbref_standard_performance_ast;fbref_standard_performance_g_plus_a;fbref_standard_performance_g_pk;fbref_standard_performance_pk;fbref_standard_performance_pkatt;fbref_standard_performance_crdy;fbref_standard_performance_crdr;fbref_standard_per_90_minutes_gls;fbref_standard_per_90_minutes_ast;fbref_standard_per_90_minutes_g_plus_a;fbref_standard_per_90_minutes_g_pk;fbref_standard_per_90_minutes_g_plus_a_pk;fbref_shooting_nation;fbref_shooting_pos;fbref_shooting_age;fbref_shooting_born;fbref_shooting_90s;fbref_shooting_standard_gls;fbref_shooting_standard_sh;fbref_shooting_standard_sot;fbref_shooting_standard_sotpct;fbref_shooting_standard_sh_per_90;fbref_shooting_standard_sot_per_90;fbref_shooting_standard_g_per_sh;fbref_shooting_standard_g_per_sot;fbref_shooting_standard_pk;fbref_shooting_standard_pkatt;fbref_playing_time_nation;fbref_playing_time_pos;fbref_playing_time_age;fbref_playing_time_born;fbref_playing_time_playing_time_mp;fbref_playing_time_playing_time_min;fbref_playing_time_playing_time_mn_per_mp;fbref_playing_time_playing_time_minpct;fbref_playing_time_playing_time_90s;fbref_playing_time_starts_starts;fbref_playing_time_starts_mn_per_start;fbref_playing_time_starts_compl;fbref_playing_time_subs_subs;fbref_playing_time_subs_mn_per_sub;fbref_playing_time_subs_unsub;fbref_playing_time_team_success_ppm;fbref_playing_time_team_success_ong;fbref_playing_time_team_success_onga;fbref_playing_time_team_success_plus_minus;fbref_playing_time_team_success_plus_minus90;fbref_playing_time_team_success_on_off;fbref_misc_nation;fbref_misc_pos;fbref_misc_age;fbref_misc_born;fbref_misc_90s;fbref_misc_performance_crdy;fbref_misc_performance_crdr;fbref_misc_performance_2crdy;fbref_misc_performance_fls;fbref_misc_performance_fld;fbref_misc_performance_off;fbref_misc_performance_crs;fbref_misc_performance_int;fbref_misc_performance_tklw;fbref_misc_performance_og;fbref_keeper_nation;fbref_keeper_pos;fbref_keeper_age;fbref_keeper_born;fbref_keeper_playing_time_mp;fbref_keeper_playing_time_starts;fbref_keeper_playing_time_min;fbref_keeper_playing_time_90s;fbref_keeper_performance_ga;fbref_keeper_performance_ga90;fbref_keeper_performance_sota;fbref_keeper_performance_saves;fbref_keeper_performance_savepct;fbref_keeper_performance_w;fbref_keeper_performance_d;fbref_keeper_performance_l;fbref_keeper_performance_cs;fbref_keeper_performance_cspct;fbref_keeper_penalty_kicks_pkatt;fbref_keeper_penalty_kicks_pka;fbref_keeper_penalty_kicks_pksv;fbref_keeper_penalty_kicks_pkm;fbref_keeper_penalty_kicks_savepct
Elvis Rexhbeçaj;Augsburg;2526;GER-Bundesliga;KVX;MF;27;1997;26;10;1118;12,4;2;0;2;2;0;0;4;0;0,16;0,0;0,16;0,16;0,16;KVX;MF;27;1997;12,4;2;11;5;45,5;0,89;0,4;0,18;0,4;0;0;KVX;MF;27;1997;26;1118;43;36,5;12,4;10;71;3;16;26;2;1,31;20;21;-1;-0,08;0,61;KVX;MF;27;1997;12,4;4;0;0;13;16;1;16;4;8;0;;;;;;;;;;;;;;;;;;;;;;;
Fabian Rieder;Augsburg;2526;GER-Bundesliga;SUI;MF;23;2002;32;28;2343;26,0;6;3;9;4;2;2;4;0;0,23;0,12;0,35;0,15;0,27;SUI;MF;23;2002;26,0;6;38;13;34,2;1,46;0,5;0,16;0,46;2;2;SUI;MF;23;2002;32;2343;73;76,6;26,0;28;82;16;4;13;0;1,25;36;53;-17;-0,65;-0,78;SUI;MF;23;2002;26,0;4;0;0;45;38;2;116;13;20;0;;;;;;;;;;;;;;;;;;;;;;;
Finn Dahmen;Augsburg;2526;GER-Bundesliga;GER;GK;27;1998;34;34;3060;34,0;0;0;0;0;0;0;1;0;0,0;0,0;0,0;0,0;0,0;GER;GK;27;1998;34,0;0;1;0;0,0;0,03;0,0;0,0;;0;0;GER;GK;27;1998;34;3060;90;100,0;34,0;34;90;34;0;;0;1,26;45;61;-16;-0,47;;GER;GK;27;1998;34,0;1;0;0;0;9;0;0;0;0;0;GER;GK;27;1998;34;34;3060;34,0;61;1,79;166;105;63,3;12;7;15;5;14,7;7;6;1;0;14,3
Han-Noah Massengo;Augsburg;2526;GER-Bundesliga;FRA;MF;24;2001;33;29;2427;27,0;2;1;3;2;0;0;5;0;0,07;0,04;0,11;0,07;0,11;FRA;MF;24;2001;27,0;2;20;6;30,0;0,74;0,22;0,1;0,33;0;0;FRA;MF;24;2001;33;2427;74;79,3;27,0;29;80;14;4;26;0;1,27;31;52;-21;-0,78;-1,49;FRA;MF;24;2001;27,0;5;0;0;25;23;0;17;36;18;0;;;;;;;;;;;;;;;;;;;;;;;
Ismaël Gharbi;Augsburg;2526;GER-Bundesliga;TUN;MF;21;2004;6;0;94;1,0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;TUN;MF;21;2004;1,0;0;3;0;0,0;2,87;0,0;0,0;;0;0;TUN;MF;21;2004;6;94;16;3,1;1,0;0;;0;6;16;15;0,17;0;0;0;0,0;0,49;TUN;MF;21;2004;1,0;0;0;0;2;8;0;4;0;1;0;;;;;;;;;;;;;;;;;;;;;;;
Jeffrey Gouweleeuw;Augsburg;2526;GER-Bundesliga;NED;DF;34;1991;11;10;848;9,4;0;1;1;0;0;0;3;0;0,0;0,11;0,11;0,0;0,11;NED;DF;34;1991;9,4;0;5;3;60,0;0,53;0,32;0,0;0,0;0;0;NED;DF;34;1991;11;848;77;27,7;9,4;10;82;6;1;29;1;1,27;16;20;-4;-0,42;0,06;NED;DF;34;1991;9,4;3;0;0;7;3;1;5;13;10;0;;;;;;;;;;;;;;;;;;;;;;;
Keven Schlotterbeck;Augsburg;2526;GER-Bundesliga;GER;DF;28;1997;24;22;2031;22,6;0;1;1;0;0;1;7;1;0,0;0,04;0,04;0,0;0,04;GER;DF;28;1997;22,6;0;12;3;25,0;0,53;0,13;0,0;0,0;0;1;GER;DF;28;1997;24;2031;85;66,4;22,6;22;90;21;2;31;7;1,29;29;36;-7;-0,31;0,48;GER;DF;28;1997;22,6;7;1;1;25;20;1;6;33;25;0;;;;;;;;;;;;;;;;;;;;;;;
Kristijan Jakić;Augsburg;2526;GER-Bundesliga;CRO;MF,DF;28;1997;26;18;1653;18,4;2;1;3;2;0;0;5;0;0,11;0,05;0,16;0,11;0,16;CRO;MF,DF;28;1997;18,4;2;18;6;33,3;0,98;0,33;0,11;0,33;0;0;CRO;MF,DF;28;1997;26;1653;64;54,0;18,4;18;77;10;8;34;2;1,15;24;27;-3;-0,16;0,67;CRO;MF,DF;28;1997;18,4;5;0;0;17;17;2;4;17;25;0;;;;;;;;;;;;;;;;;;;;;;;
Kyliane Dong;Augsburg;2526;GER-Bundesliga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FRA;MF;20;2004;0;;;;;0;;0;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mads Pedersen;Augsburg;2526;GER-Bundesliga;DEN;MF;28;1996;7;1;210;2,3;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;DEN;MF;28;1996;2,3;0;3;0;0,0;1,29;0,0;0,0;;0;0;DEN;MF;28;1996;7;210;30;6,9;2,3;1;61;0;6;25;11;1,14;0;5;-5;-2,14;-1,8;DEN;MF;28;1996;2,3;0;0;0;5;3;1;11;1;2;0;;;;;;;;;;;;;;;;;;;;;;;
