league,season,player,team,position,position_group,age,minutes,PC1,PC2,PC3,pca1_shooting_score,pca2_team_success_score,pca3_misc_performance_score,observed_features,imputed_features,pca1_observed_features,pca1_imputed_features,pca2_observed_features,pca2_imputed_features,pca3_observed_features,pca3_imputed_features,shooting_goals_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,goals_per_shot,goals_per_shot_on_target,penalties_scored_per90,penalty_attempts_per90,points_per_match,team_goals_for_per90,team_goals_against_per90,plus_minus_per90,on_off_per90,yellow_cards_per90,red_cards_per90,second_yellow_cards_per90,fouls_committed_per90,fouls_drawn_per90,offsides_per90,crosses_per90,interceptions_per90,tackles_won_per90,own_goals_per90
GER-Bundesliga,2025-2026,Kristijan Jakić,Augsburg,"MF,DF",MF,28.0,1653.0,-0.23060632176159224,-0.11730265729304701,0.33870572460225423,-0.23060632176159224,-0.11730265729304701,0.33870572460225423,23,0,8,0,5,0,10,0,0.1088929219600726,0.9800362976406534,0.32667876588021777,33.33333333333333,0.1111111111111111,0.3333333333333333,0.0,0.0,1.15,1.306715063520871,1.47005444646098,-0.16333938294010888,0.67,0.27223230490018147,0.0,0.0,0.925589836660617,0.925589836660617,0.1088929219600726,0.2177858439201452,0.925589836660617,1.3611615245009074,0.0
GER-Bundesliga,2025-2026,Marius Wolf,Augsburg,MF,MF,30.0,1019.0,-0.2676684723061602,-0.1896713800998233,0.05251895992813272,-0.2676684723061602,-0.1896713800998233,0.05251895992813272,23,0,8,0,5,0,10,0,0.08832188420019627,1.2365063788027477,0.44160942100098133,35.714285714285715,0.07142857142857142,0.2,0.0,0.0,1.17,1.5014720314033365,1.678115799803729,-0.17664376840039253,0.44,0.35328753680078506,0.0,0.0,0.8832188420019627,0.17664376840039253,0.971540726202159,3.79784102060844,1.1481844946025515,0.8832188420019627,0.0
GER-Bundesliga,2025-2026,Mert Kömür,Augsburg,"MF,FW",MF,20.0,1464.0,0.21823009058026893,-0.3858064059464727,-0.27088742655891856,0.21823009058026893,-0.3858064059464727,-0.27088742655891856,23,0,8,0,5,0,10,0,0.12295081967213115,2.5204918032786887,0.9836065573770492,39.02439024390244,0.04878048780487805,0.125,0.0,0.0,1.25,1.290983606557377,1.721311475409836,-0.430327868852459,0.08,0.06147540983606557,0.0,0.0,1.598360655737705,1.1065573770491803,0.12295081967213115,3.6885245901639343,0.4918032786885246,0.7991803278688525,0.0
GER-Bundesliga,2025-2026,Michael Gregoritsch,Augsburg,FW,FW,31.0,913.0,1.9991024742357275,0.5511538857137578,-0.5552076776546494,1.9991024742357275,0.5511538857137578,-0.5552076776546494,23,0,8,0,5,0,10,0,0.5914567360350493,2.858707557502738,0.9857612267250822,34.48275862068966,0.20689655172413793,0.6,0.09857612267250822,0.09857612267250822,1.35,1.8729463307776562,1.380065717415115,0.4928806133625411,1.37,0.19715224534501644,0.0,0.0,0.4928806133625411,1.7743702081051478,0.39430449069003287,0.5914567360350493,0.4928806133625411,0.39430449069003287,0.0
GER-Bundesliga,2025-2026,Noahkai Banks,Augsburg,DF,DF,18.0,1725.0,-0.25748570401212967,-0.481966917787191,0.9738303340950873,-0.25748570401212967,-0.481966917787191,0.9738303340950873,23,0,8,0,5,0,10,0,0.05217391304347826,0.46956521739130436,0.2608695652173913,55.55555555555556,0.1111111111111111,0.2,0.0,0.0,1.09,1.1478260869565218,1.617391304347826,-0.46956521739130436,0.0,0.41739130434782606,0.0,0.0,1.5130434782608695,0.9391304347826087,0.1565217391304348,0.20869565217391303,0.9391304347826087,1.5130434782608695,0.0
GER-Bundesliga,2025-2026,Phillip Tietz,Augsburg / Mainz 05,FW,FW,28.0,1808.0,0.9736412526543214,0.6641953342990216,-0.3537243321783683,0.9736412526543214,0.6641953342990216,-0.3537243321783683,23,0,8,0,5,0,10,0,0.29867256637168144,2.588495575221239,1.1946902654867257,46.15384615384615,0.11538461538461539,0.25,0.0,0.049778761061946904,1.5507743362831856,1.6426991150442478,1.1946902654867257,0.4480088495575221,1.4441482300884956,0.19911504424778761,0.0,0.0,1.8915929203539823,1.2444690265486726,1.045353982300885,0.19911504424778761,0.34845132743362833,0.2488938053097345,0.0
GER-Bundesliga,2025-2026,Robin Fellhauer,Augsburg,MF,MF,27.0,2799.0,-0.3222337175199442,-0.6898986858697895,-0.22874050486091152,-0.3222337175199442,-0.6898986858697895,-0.22874050486091152,23,0,8,0,5,0,10,0,0.09646302250803858,0.9646302250803859,0.28938906752411575,30.0,0.1,0.3333333333333333,0.0,0.0,1.26,1.2218649517684887,1.8006430868167203,-0.5787781350482315,-1.27,0.06430868167202572,0.0,0.0,0.8038585209003215,1.0610932475884245,0.19292604501607716,2.9581993569131835,0.707395498392283,1.382636655948553,0.0
GER-Bundesliga,2025-2026,Rodrigo Ribeiro,Augsburg,FW,FW,20.0,636.0,0.6288593482755714,-0.7799554747959495,-0.6994145507459291,0.6288593482755714,-0.7799554747959495,-0.6994145507459291,23,0,8,0,5,0,10,0,0.2830188679245283,3.6792452830188678,0.9905660377358491,26.923076923076923,0.07692307692307693,0.2857142857142857,0.0,0.0,1.5,0.8490566037735849,1.8396226415094339,-0.9905660377358491,-0.66,0.14150943396226415,0.0,0.0,1.4150943396226414,0.42452830188679247,1.2735849056603774,0.42452830188679247,0.5660377358490566,0.42452830188679247,0.0
GER-Bundesliga,2025-2026,Samuel Essende,Augsburg,"MF,FW",MF,27.0,414.0,0.4074854183520592,-1.0598142676050546,1.2757893795155029,0.4074854183520592,-1.0598142676050546,1.2757893795155029,23,0,8,0,5,0,10,0,0.21739130434782608,3.6956521739130435,0.8695652173913043,23.52941176470588,0.058823529411764705,0.25,0.0,0.0,1.21,1.0869565217391304,2.1739130434782608,-1.0869565217391304,-0.71,0.43478260869565216,0.0,0.0,3.6956521739130435,3.0434782608695654,1.0869565217391304,0.6521739130434783,0.21739130434782608,0.43478260869565216,0.0
GER-Bundesliga,2025-2026,Aleksandar Pavlovic,Bayern Munich,MF,MF,21.0,1462.0,0.44917115356117326,1.608247815502422,-0.20206181177770705,0.44917115356117326,1.608247815502422,-0.20206181177770705,23,0,8,0,5,0,10,0,0.18467852257181944,0.615595075239398,0.307797537619699,50.0,0.3,0.6,0.0,0.0,2.46,3.4473324213406293,1.600547195622435,1.8467852257181943,-1.31,0.12311901504787962,0.0,0.0,1.1696306429548564,0.615595075239398,0.0,0.9233926128590971,0.8002735978112175,0.9233926128590971,0.0
